#SPECTRUM - MS
#20190701-APO-6-25-3.RAW
#FTMS + p NSI Full ms2 1000.0000@hcd300.00 [1000.0000-20000.0000]
#Scan #: 1277-1613
#RT: 5.36-6.79
#AV: 337
#Data points: 51778
Mass	Background
1027.846519	23.499174
1027.877772	19.495542
1027.909027	17.836894
1027.940283	18.307341
1027.971540	20.453257
1028.002799	24.463801
1028.034060	29.762219
1028.065321	28.474631
1028.096585	23.593994
1028.127849	17.187561
1028.159115	15.152725
1028.190383	16.299336
1028.221652	15.897427
1028.252922	13.460403
1028.284194	9.469791
1028.315467	9.057534
1028.346742	13.691775
1028.378018	17.610854
1028.409296	19.059003
1028.440575	22.838741
1028.471855	30.718244
1028.503137	38.224868
1028.534420	40.860002
1028.565705	35.473060
1028.596991	27.946618
1028.628278	25.108482
1028.659567	29.757397
1028.690857	34.910117
1028.722149	38.355540
1028.753442	35.761969
1028.784737	30.979030
1028.816033	25.082123
1028.847331	20.549765
1028.878630	14.773456
1028.909930	15.279929
1028.941232	16.711785
1028.972535	20.518898
1029.003840	25.555871
1029.035146	31.366607
1029.066453	32.504577
1029.097762	26.402666
1029.129072	22.970284
1029.160384	22.163851
1029.191697	25.194006
1029.223012	26.094323
1029.254328	22.820156
1029.285646	24.267121
1029.316965	25.684703
1029.348285	24.393383
1029.379607	26.132559
1029.410930	24.775166
1029.442255	24.603297
1029.473581	28.231484
1029.504908	29.033058
1029.536237	30.522529
1029.567567	28.934599
1029.598899	25.898770
1029.630232	19.964836
1029.661567	15.268788
1029.692903	15.950589
1029.724241	22.675463
1029.755580	31.896526
1029.786920	38.435943
1029.818262	41.143665
1029.849605	35.621439
1029.880950	33.113610
1029.912296	31.180427
1029.943643	34.189668
1029.974992	32.151723
1030.006343	30.535419
1030.037695	31.356276
1030.069048	28.001084
1030.100403	24.588449
